0	-0.00292329 -0.00467441 0.00270427 -0.000568689 0.0073475 -0.00475482 -0.00414859 -0.00822297 -0.00349914 -0.00628547 0.0091668 -0.00888505 0.00426924 -0.00502214 0.000236658 -0.00809472 -0.00689609 0.00324485 0.00406273 0.00575077 -0.00336976 9.7808e-05 0.00746207 -0.00607054 0.00911144 -0.00306213 1.31143e-05 0.0031886 0.00511769 -0.00441654 -0.00857035 0.00895234 0.00406165 0.00273057 -0.00523036 -0.00810102 0.0079765 -0.00714961 0.00908749 -0.00220523 -0.0034201 -0.0102972 -0.000838789 0.00181059 -0.00177917 -0.00191308 0.00408049 0.00282861 0.00665997 -0.00686391 
1	0.000542884 -0.00768336 -0.00821285 -0.00860892 0.00484686 0.00412354 0.0106521 -0.00604978 -4.30811e-05 0.00521179 -0.00443657 -0.000193704 0.00461243 0.00183842 0.00870896 0.00431292 -0.00706769 -0.00342029 0.00547294 -0.00690911 0.00912131 -0.00160389 -0.00874213 -0.00368409 0.0019695 -0.00469152 -0.00192272 0.00610778 -0.000593937 0.00567521 -0.00643672 -0.00321918 0.00391049 0.00567516 0.00436197 -0.00526994 -0.00979267 0.000727782 -0.0098763 0.00744695 -0.0025572 -0.00894351 -0.00996333 -0.00818065 -0.00523122 -0.00778524 0.00742243 0.00930195 0.00170971 0.00442044 
2	0.000837078 -0.00883701 -0.00432194 0.00233489 0.00298683 0.00824233 0.00276437 -0.000408622 -0.000702364 0.00327738 0.00148294 -0.00360485 0.00329742 -0.00451774 0.00754093 -0.00717026 0.00181036 -0.00782874 0.00527618 0.00117794 -0.000901263 0.00587772 0.00666618 0.0096397 0.000694542 0.00787638 0.00578402 -0.00952557 -0.000613758 -0.00220234 -0.00618642 -0.00902449 0.00476727 -0.000120345 -0.00603996 -0.00692162 -0.00372103 -0.000677865 -0.00844234 0.00246511 0.000848953 0.00724914 0.00968913 -0.00435347 0.00592142 0.000733268 0.00658236 -0.00200444 0.000210274 0.00995191 
3	0.0101987 -0.00245504 -0.0014132 -0.0107421 -0.00597116 0.00438285 0.00522094 -0.00191712 -0.00792399 -0.00551091 -0.00869322 -0.00764548 -0.00449041 -0.00148293 0.004372 0.00160765 0.00521947 -0.00372722 0.00245209 0.00958904 -0.00108965 0.000787737 0.00617225 -0.00646745 0.00609346 0.0088401 -0.00768578 0.00353043 0.00748053 0.00888985 0.00828255 0.00917364 -0.00938235 0.00438653 0.00367101 -0.00778742 -0.00915956 -0.00585668 -0.00410033 0.00473837 0.00222005 -0.00356442 -0.00884864 0.00364957 0.00700535 0.00254624 0.00605567 -0.00716411 0.00331329 -0.00435643 
4	0.00464269 0.00364629 0.00258743 0.00327621 -0.00273786 0.00824907 -0.00720486 -0.00795371 0.00231504 0.00144671 0.00538063 -0.00659971 0.000842198 0.00467899 0.00639573 -0.00975984 -0.00998597 0.00542709 -0.00830524 0.00310575 0.00701207 -0.00960864 0.0097764 -0.0068879 0.00126863 -0.00640574 -0.00324958 -0.0070582 -0.00196525 -0.0056757 -0.00552183 -0.00375259 0.00979402 -0.000443297 0.00957231 0.00397328 -0.000970428 0.0073296 -0.00131141 -0.0076332 -0.00692628 0.000504954 0.00306522 0.00700621 -0.00364841 0.00846767 -0.00316679 0.00170398 0.00977989 -0.00828886 
5	0.00299781 -0.00696443 0.00839107 0.00100333 -0.00436214 -0.00680147 0.000690647 -0.00126091 -0.00631434 0.000809143 0.00597771 -0.00509076 -6.44853e-05 0.00632286 0.00759049 0.0038084 -0.00483272 -0.00444743 0.00314075 0.00741214 0.00913775 -0.00852733 -0.00802558 0.00971429 -0.00825434 0.00334675 0.00246248 0.00456384 0.006168 0.00643264 -0.0103174 -0.000758672 -0.000534787 0.00387795 0.00734161 0.00999391 0.00184349 0.00620996 -0.00216731 -0.00283084 -0.00420076 -0.00150749 0.00473026 -0.00343969 0.0013315 0.00948812 0.00341198 -0.000781819 0.00569682 -0.00819544 
6	-0.00273031 -0.00835829 0.00581897 0.0015595 -0.00103529 0.000921142 -0.0015824 -0.00873439 0.009379 -0.00954396 0.000803991 0.00395469 0.000284204 -0.00692978 0.00606496 0.00130859 0.00704738 0.00401304 0.00301197 0.00243541 0.00896898 -0.00701632 0.006796 -0.00766695 0.00550216 -0.00918899 0.0073561 -0.00776496 -0.00891826 -0.0100126 0.00834185 0.00893512 0.00270799 -0.000719872 0.00631232 0.0059763 -0.00132477 -0.00743234 -0.00911549 -0.00505483 -0.00961499 -0.00715189 -0.00330075 0.0082899 -0.00834775 0.00480901 -0.00324053 -0.00680728 -0.00924508 -0.000725412 
7	0.00967874 -0.00854476 -0.0103789 0.00417816 -0.00325733 0.00117171 0.00159083 0.000463088 -0.00116273 0.000542777 0.000522391 0.00397274 -0.00410204 0.00250935 0.00864414 -0.00730965 -0.00842845 0.000608856 0.000340673 0.00858817 0.00595478 0.00588534 0.00626011 0.0104476 0.00387308 0.0016034 0.00572092 -0.00532013 -0.00934242 0.00459815 0.00337289 0.00866147 0.00811288 0.00945199 -0.00507154 0.00810456 0.00767634 -0.00718682 0.000174289 -0.00239049 0.00757147 -0.00742468 0.00630321 0.0102022 0.00198148 -0.0094766 0.00323847 0.00815914 0.00381053 -0.00849656 
8	-0.00253254 0.000769453 -0.00428885 0.00618498 0.00848502 -0.00985214 0.00587655 -0.00341099 -0.000864061 -0.00218279 -0.00100063 0.00962593 0.00833832 0.0019521 0.00137963 -0.00428516 0.00220785 0.00675136 -0.00398243 0.0039507 -0.00931168 0.00285227 -0.00427388 0.00892534 0.000362111 0.00841747 -0.00177098 -0.00540479 -0.00727358 0.000418175 0.0052565 0.00505291 0.00524678 -0.00817722 0.00604058 0.00117923 0.00175924 -0.00970378 -0.00825952 -0.00306095 0.00273238 -0.00082707 -0.00263671 -0.00819753 -0.000513013 0.00502487 0.00593535 -0.00686833 0.00676029 0.00876268 
9	0.00474249 -0.00113459 -0.00284793 0.00352572 -0.00647282 -0.00939696 0.00288005 0.00671466 0.00719 -0.00691362 -0.000982521 -0.00288301 0.00274373 -0.00742697 -0.000623612 0.0074372 0.00063003 -0.00079184 -0.00938297 0.00531954 -0.00449188 0.00938872 0.00193112 0.00822893 -0.00583109 0.00605394 0.00652825 -0.000772661 0.00395073 0.00319442 0.00954853 -0.00265402 0.000844673 -0.0049782 0.0036741 0.00399317 0.0015978 0.00639122 -0.00749503 -0.00762375 -0.00446791 0.00917588 0.00852992 0.00234747 -0.00618067 -0.00483054 0.00859988 -0.0036391 0.00941303 0.00619621 
